Strategy,P1,P2,P3,Comment,Cycles,Repeats,StartSum,StartEq,StartBo,Withdrawal,Rebalance,Aver,Max,Min,SuccessRate, 
2,0,0,0,WorldWithoutUS,400,10000,4,55,18,2.8,11,6.69,29.15,1.83,1.00,
2,0,0,0,WorldWithoutUS,400,10000,4,100,0,2.5,11,11.97,53.58,2.32,1.00,
3,0,0,0,WorldWithoutUS,400,10000,4,30,35,2.5,11,5.05,21.83,1.62,1.00,
3,0,0,0,WorldWithoutUS,400,10000,4,80,10,4,11,5.67,33.61,0.69,1.00,
1,0,0,0,WorldWithoutUS,400,10000,4,0,100,4,11,0.09,7.85,0.00,0.11,
2,0,0,0,WorldWithoutUS,400,10000,4,0,50,4,11,1.30,3.45,0.58,1.00,
2,0,0,0,WorldWithoutUS,400,10000,4,0,50,2.5,11,2.28,5.68,1.11,1.00,
2,0,0,0,WorldWithoutUS,400,10000,4,70,15,2.5,11,8.85,53.59,1.82,1.00,
2,0,0,0,WorldWithoutUS,400,10000,4,55,18,2.5,11,7.44,33.06,1.92,1.00,
2,0,0,0,WorldWithoutUS,400,10000,4,90,5,2.8,11,9.75,58.22,1.80,1.00,
3,0,0,0,WorldWithoutUS,400,10000,4,20,40,2.8,11,3.72,14.44,1.23,1.00,
2,0,0,0,WorldWithoutUS,400,10000,4,50,25,2.8,11,6.24,26.85,1.67,1.00,
3,0,0,0,WorldWithoutUS,400,10000,4,50,25,2.8,11,6.20,34.24,1.11,1.00,
2,0,0,0,WorldWithoutUS,400,10000,4,40,30,2.5,11,6.01,20.95,1.55,1.00,
3,0,0,0,WorldWithoutUS,400,10000,4,20,40,2.5,11,4.14,15.05,1.24,1.00,
3,0,0,0,WorldWithoutUS,400,10000,4,70,15,4,11,5.09,23.21,0.90,1.00,
2,0,0,0,WorldWithoutUS,400,10000,4,0,100,4,11,1.36,4.66,0.35,1.00,
2,0,0,0,WorldWithoutUS,400,10000,4,40,30,2.8,11,5.35,26.06,1.36,1.00,
2,0,0,0,WorldWithoutUS,400,10000,4,80,10,2.8,11,8.93,34.51,2.02,1.00,
3,0,0,0,WorldWithoutUS,400,10000,4,10,45,2.8,11,2.88,9.65,1.06,1.00,
2,0,0,0,WorldWithoutUS,400,10000,4,30,35,2.5,11,5.07,20.61,1.41,1.00,
3,0,0,0,WorldWithoutUS,400,10000,4,60,20,4,11,4.58,21.69,0.89,1.00,
2,0,0,0,WorldWithoutUS,400,10000,4,70,15,2.8,11,8.01,31.89,1.61,1.00,
2,0,0,0,WorldWithoutUS,400,10000,4,30,35,2.8,11,4.53,19.83,1.14,1.00,
2,0,0,0,WorldWithoutUS,400,10000,4,20,40,2.5,11,4.11,15.09,1.28,1.00,
