Strategy,P1,P2,P3,Comment,Cycles,Repeats,StartSum,StartEq,StartBo,Withdrawal,Rebalance,Aver,Max,Min,SuccessRate, 
2,0,0,0,Europe,400,10000,4,100,0,4,11,6.92,30.41,1.32,1,
3,0,0,0,Europe,400,10000,4,0,100,4,11,1.36,5.41,0.35,1,
3,0,0,0,Europe,400,10000,4,0,0,4,11,1.24,2.3,0.72,1,
3,0,0,0,Europe,400,10000,4,0,50,4,11,1.3,3.09,0.58,1,
3,0,0,0,Europe,400,10000,4,10,45,4,11,1.84,7.43,0.74,1,
3,0,0,0,Europe,400,10000,4,20,40,4,11,2.39,9.89,0.8,1,
3,0,0,0,Europe,400,10000,4,30,35,4,11,2.95,11.12,0.83,1,
3,0,0,0,Europe,400,10000,4,40,30,4,11,3.48,20.44,0.83,1,
3,0,0,0,Europe,400,10000,4,50,25,4,11,4.02,18.67,0.76,1,
3,0,0,0,Europe,400,10000,4,55,18,4,11,4.31,39.6,0.68,1,
3,0,0,0,Europe,400,10000,4,60,20,4,11,4.59,22.97,0.83,1,
3,0,0,0,Europe,400,10000,4,70,15,4,11,5.09,24,1.09,1,
3,0,0,0,Europe,400,10000,4,80,10,4,11,5.62,24.5,0.9,1,
3,0,0,0,Europe,400,10000,4,90,5,4,11,6.13,35.54,0.57,1,
3,0,0,0,Europe,400,10000,4,100,0,4,11,6.7,34.54,1.01,1,
