Country,Strategy,Eq,Bo,Withdrawal,Rebalance,TrailAver,TrailMax,TrailMin,WDAver,WDMax,WDMin,SuccessRate, 
China.JPG,1,55,30,8.00,11,0.00,0.00,0.00,122,320,0,0.00,
China.JPG,1,55,30,8.50,11,0.00,0.00,0.00,121,340,0,0.00,
China.JPG,1,55,30,9.00,11,0.00,0.00,0.00,119,360,0,0.00,
China.JPG,1,55,30,9.50,11,0.00,0.00,0.00,118,380,0,0.00,
Denmark.JPG,1,55,30,0.00,11,18.25,53.34,8.10,0,0,0,1.00,
Denmark.JPG,1,55,30,0.50,11,16.45,37.08,7.84,20,20,20,1.00,
Denmark.JPG,1,55,30,1.00,11,14.68,33.27,6.21,40,40,40,1.00,
Denmark.JPG,1,55,30,1.50,11,12.98,31.86,4.51,60,60,60,1.00,
Denmark.JPG,1,55,30,2.00,11,11.22,27.87,4.02,80,80,80,1.00,
Denmark.JPG,1,55,30,2.50,11,9.49,27.87,2.56,100,100,100,1.00,
Denmark.JPG,1,55,30,3.00,11,7.75,22.38,1.43,120,120,60,1.00,
Denmark.JPG,1,55,30,3.50,11,6.02,21.21,0.08,140,140,70,1.00,
Denmark.JPG,1,55,30,4.00,11,4.30,20.28,0.00,159,160,0,1.00,
Denmark.JPG,1,55,30,4.50,11,2.69,21.57,0.00,175,180,0,0.97,
Denmark.JPG,1,55,30,5.00,11,1.44,12.49,0.00,184,200,0,0.82,
Denmark.JPG,1,55,30,5.50,11,0.63,12.71,0.00,185,220,0,0.51,
Denmark.JPG,1,55,30,6.00,11,0.20,6.70,0.00,177,240,0,0.20,
Denmark.JPG,1,55,30,6.50,11,0.06,8.71,0.00,170,260,0,0.07,
Denmark.JPG,1,55,30,7.00,11,0.02,5.14,0.00,161,280,0,0.02,
Denmark.JPG,1,55,30,7.50,11,0.00,2.34,0.00,155,300,0,0.00,
Denmark.JPG,1,55,30,8.00,11,0.00,1.60,0.00,150,320,0,0.00,
Denmark.JPG,1,55,30,8.50,11,0.00,0.00,0.00,146,340,0,0.00,
Denmark.JPG,1,55,30,9.00,11,0.00,0.47,0.00,142,360,0,0.00,
Denmark.JPG,1,55,30,9.50,11,0.00,0.00,0.00,139,380,0,0.00,
Europe.JPG,1,55,30,0.00,11,17.26,44.37,6.85,0,0,0,1.00,
Europe.JPG,1,55,30,0.50,11,15.54,48.34,5.67,20,20,20,1.00,
Europe.JPG,1,55,30,1.00,11,13.89,48.03,4.46,40,40,40,1.00,
Europe.JPG,1,55,30,1.50,11,12.15,42.10,3.69,60,60,60,1.00,
Europe.JPG,1,55,30,2.00,11,10.36,35.62,1.29,80,80,80,1.00,
Europe.JPG,1,55,30,2.50,11,8.69,27.45,1.71,100,100,50,1.00,
Europe.JPG,1,55,30,3.00,11,7.01,32.66,0.62,120,120,60,1.00,
Europe.JPG,1,55,30,3.50,11,5.23,24.88,0.00,140,140,0,1.00,
Europe.JPG,1,55,30,4.00,11,3.65,28.47,0.00,158,160,0,0.99,
Europe.JPG,1,55,30,4.50,11,2.22,16.85,0.00,171,180,0,0.90,
Europe.JPG,1,55,30,5.00,11,1.16,19.62,0.00,178,200,0,0.68,
Europe.JPG,1,55,30,5.50,11,0.48,10.82,0.00,175,220,0,0.37,
Europe.JPG,1,55,30,6.00,11,0.20,17.55,0.00,169,240,0,0.17,
Europe.JPG,1,55,30,6.50,11,0.08,9.78,0.00,162,260,0,0.06,
Europe.JPG,1,55,30,7.00,11,0.02,6.57,0.00,155,280,0,0.02,
Europe.JPG,1,55,30,7.50,11,0.01,5.65,0.00,149,300,0,0.01,
Europe.JPG,1,55,30,8.00,11,0.00,5.67,0.00,145,320,0,0.00,
Europe.JPG,1,55,30,8.50,11,0.00,2.48,0.00,141,340,0,0.00,
Europe.JPG,1,55,30,9.00,11,0.00,0.00,0.00,138,360,0,0.00,
Europe.JPG,1,55,30,9.50,11,0.00,0.00,0.00,136,380,0,0.00,
Finland.JPG,1,55,30,0.00,11,16.77,52.14,6.00,0,0,0,1.00,
Finland.JPG,1,55,30,0.50,11,15.02,52.88,4.42,20,20,20,1.00,
Finland.JPG,1,55,30,1.00,11,13.47,48.15,4.06,40,40,40,1.00,
Finland.JPG,1,55,30,1.50,11,11.66,39.88,2.99,60,60,60,1.00,
Finland.JPG,1,55,30,2.00,11,9.95,35.06,2.23,80,80,80,1.00,
Finland.JPG,1,55,30,2.50,11,8.32,27.92,1.51,100,100,50,1.00,
Finland.JPG,1,55,30,3.00,11,6.64,28.40,0.05,120,120,60,1.00,
Finland.JPG,1,55,30,3.50,11,5.03,31.34,0.00,139,140,0,1.00,
Finland.JPG,1,55,30,4.00,11,3.43,25.75,0.00,156,160,0,0.98,
Finland.JPG,1,55,30,4.50,11,2.08,22.90,0.00,168,180,0,0.86,
Finland.JPG,1,55,30,5.00,11,1.07,18.44,0.00,173,200,0,0.62,
Finland.JPG,1,55,30,5.50,11,0.49,14.60,0.00,171,220,0,0.34,
Finland.JPG,1,55,30,6.00,11,0.21,15.15,0.00,165,240,0,0.17,
Finland.JPG,1,55,30,6.50,11,0.08,8.13,0.00,158,260,0,0.07,
Finland.JPG,1,55,30,7.00,11,0.03,5.28,0.00,152,280,0,0.03,
Finland.JPG,1,55,30,7.50,11,0.01,12.76,0.00,147,300,0,0.01,
Finland.JPG,1,55,30,8.00,11,0.00,6.64,0.00,143,320,0,0.00,
Finland.JPG,1,55,30,8.50,11,0.00,1.16,0.00,139,340,0,0.00,
Finland.JPG,1,55,30,9.00,11,0.00,0.00,0.00,137,360,0,0.00,
Finland.JPG,1,55,30,9.50,11,0.00,3.21,0.00,134,380,0,0.00,
France.JPG,1,55,30,0.00,11,12.38,31.53,4.77,0,0,0,1.00,
France.JPG,1,55,30,0.50,11,10.95,40.12,3.43,20,20,20,1.00,
France.JPG,1,55,30,1.00,11,9.53,27.29,3.30,40,40,40,1.00,
France.JPG,1,55,30,1.50,11,8.25,29.46,1.95,60,60,30,1.00,
France.JPG,1,55,30,2.00,11,6.79,20.56,1.76,80,80,40,1.00,
France.JPG,1,55,30,2.50,11,5.45,20.37,0.08,100,100,50,1.00,
France.JPG,1,55,30,3.00,11,4.06,20.17,0.10,119,120,60,1.00,
France.JPG,1,55,30,3.50,11,2.84,16.05,0.00,135,140,0,0.99,
France.JPG,1,55,30,4.00,11,1.80,13.54,0.00,147,160,0,0.93,
France.JPG,1,55,30,4.50,11,0.98,10.77,0.00,154,180,0,0.71,
France.JPG,1,55,30,5.00,11,0.43,8.19,0.00,155,200,0,0.42,
France.JPG,1,55,30,5.50,11,0.15,7.76,0.00,152,220,0,0.17,
France.JPG,1,55,30,6.00,11,0.04,4.24,0.00,147,240,0,0.05,
France.JPG,1,55,30,6.50,11,0.01,5.50,0.00,142,260,0,0.01,
France.JPG,1,55,30,7.00,11,0.00,3.39,0.00,138,280,0,0.00,
France.JPG,1,55,30,7.50,11,0.00,1.34,0.00,135,300,0,0.00,
France.JPG,1,55,30,8.00,11,0.00,0.36,0.00,132,320,0,0.00,
France.JPG,1,55,30,8.50,11,0.00,0.00,0.00,130,340,0,0.00,
France.JPG,1,55,30,9.00,11,0.00,0.00,0.00,128,360,0,0.00,
France.JPG,1,55,30,9.50,11,0.00,0.00,0.00,127,380,0,0.00,
Germany.JPG,1,55,30,0.00,11,12.98,43.57,4.59,0,0,0,1.00,
Germany.JPG,1,55,30,0.50,11,11.64,32.32,2.75,20,20,20,1.00,
Germany.JPG,1,55,30,1.00,11,10.22,27.91,3.42,40,40,20,1.00,
Germany.JPG,1,55,30,1.50,11,8.72,26.75,2.21,60,60,30,1.00,
Germany.JPG,1,55,30,2.00,11,7.39,25.55,1.44,80,80,40,1.00,
Germany.JPG,1,55,30,2.50,11,5.88,21.61,0.66,99,100,50,1.00,
